nume_actiune, timestamp_actiune
adaugareCandidat,2020-04-22 at 21:00:32 EEST
adaugareCandidat,2020-04-22 at 21:00:32 EEST
adaugareCandidat,2020-04-22 at 21:00:32 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
gasireCandidatMedieBacMaxima,2020-04-22 at 21:00:33 EEST
stergereCandidat,2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
stergerePozitieCandidat,2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
stergerePozitieCandidat,2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
sadaugareDomeniu(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
sadaugareDomeniu(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
afisareDomenii(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
afisareDomeniu(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareDomeniu(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
stergereCandidat,2020-04-22 at 21:00:33 EEST
afisareCandidatiDomenii(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
afisareDomeniu(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
afisareDomeniu(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
afisareCandidati,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getExamen(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getExamen(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
stergerePozitieCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getDomeniu,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuMatematica),2020-04-22 at 21:00:33 EEST
getCandidat,2020-04-22 at 21:00:33 EEST
adaugareCandidat,2020-04-22 at 21:00:33 EEST
getDomeniuIndex(FacultateMateInfo),2020-04-22 at 21:00:33 EEST
getCandidat_service(DomeniuInformatica),2020-04-22 at 21:00:33 EEST
